SubID,mean_sts_score,social_connectedness,satisfaction_life,psychological_richness,condition
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
13560,0.5626055971774194,77.0,37.0,37.6,explore
